date,ct
2010/1/1,10930
2010/2/1,10318
2010/3/1,10595
2010/4/1,10972
2010/5/1,7706
2010/6/1,6756
2010/7/1,9092
2010/8/1,10551
2010/9/1,9722
2010/10/1,10913
2010/11/1,11151
2010/12/1,8186
2011/1/1,6422
2011/2/1,6337
2011/3/1,11649
2011/4/1,11652
2011/5/1,10310
2011/6/1,12043
2011/7/1,7937
2011/8/1,6476
2011/9/1,9662
2011/10/1,9570
2011/11/1,9981
2011/12/1,9331
2012/1/1,9449
2012/2/1,6773
2012/3/1,6304
2012/4/1,9355
2012/5/1,10477
2012/6/1,10148
2012/7/1,10395
2012/8/1,11261
2012/9/1,8713
2012/10/1,7299
2012/11/1,10424
2012/12/1,10795
2013/1/1,11069
2013/2/1,11602
2013/3/1,11427
2013/4/1,9095
2013/5/1,7707
2013/6/1,10767
2013/7/1,12136
2013/8/1,12812
2013/9/1,12006
2013/10/1,12528
2013/11/1,10329
2013/12/1,7818
2014/1/1,11719
2014/2/1,11683
2014/3/1,12603
2014/4/1,11495
2014/5/1,13670
2014/6/1,11337
2014/7/1,10232
2014/8/1,13261
2014/9/1,13230
2014/10/1,15535
2014/11/1,16837
2014/12/1,19598
2015/1/1,14823
2015/2/1,11622
2015/3/1,19391
2015/4/1,18177
2015/5/1,19994
2015/6/1,14723
2015/7/1,15694
2015/8/1,13248
2015/9/1,9543
2015/10/1,12872
2015/11/1,13101
2015/12/1,15053
2016/1/1,12619
2016/2/1,13749
2016/3/1,10228
2016/4/1,9725
2016/5/1,14729
2016/6/1,12518
2016/7/1,14564
2016/8/1,15085
2016/9/1,14722
2016/10/1,11999
2016/11/1,9390
2016/12/1,13481
2017/1/1,14795
2017/2/1,15845
2017/3/1,15271
2017/4/1,14686
2017/5/1,11054
2017/6/1,10395
